"antes","depois"
146.593743925729,158.319766564608
162.635220582378,154.275791980816
131.164700204844,168.15190622579
176.432723006964,166.617887972983
152.18149444441,165.921175117776
141.37717060113,146.547057320586
146.354339577312,150.989138852427
146.042006394977,155.104222351926
136.160687372125,155.635380998397
161.436322894429,169.555650628032
151.884241447909,162.590182959087
144.189687785947,167.22551514199
149.683760626199,169.595119487211
142.087451209634,155.981911056938
159.386555312866,155.252697567132
145.321707229098,166.154593802927
139.567248972924,168.999121692315
163.526925739395,164.699535561602
155.859524377961,163.602076914025
161.958188207695,157.687127969653
137.158196510991,163.136221405766
149.503983267865,160.277745577877
164.627093436677,161.414901768597
179.000942862328,158.882572863649
169.427153138291,151.859748300138
150.483113287729,162.735602190875
134.128956866093,146.562562668259
133.985731969091,174.704832074541
153.78441200472,165.279043032429
143.517933441546,175.313809716264
