"a","b"
"49.6666552897135",60.6206214656288
"42.1849992647882",50.4061121670662
"52.6955353389532",39.313799082912
"47.7491478430057",42.174110663041
"45.3210918090432",36.0401994751765
"51.7810008440854",49.9031780287098
"46.158404275862",37.4079579809778
"49.1352683043359",57.7532856941492
"52.3493964732519",39.5278261326132
"59.6894341364647",38.3659086814604
"50.0380250125184",41.202647216247
"47.9351947265429",49.1958656334232
"44.7827096534604",24.3914372774494
"48.8915567150173",45.6924078027432
"51.602213680671",19.8707865681017
"60.8548752115761",39.825494774296
"59.9191905079434",49.928365577479
"49.2676641053843",50.7897734558991
"50.5574041008059",37.3312470643596
"44.4462888802783",45.0027761522452
"NA",30.820945496751
"NA",56.3174942489516
"NA",53.0314350454038
"NA",55.5972066421525
"NA",41.5452073883048
"NA",58.2216772100039
"NA",37.7969445430779
"NA",41.686062859841
"NA",61.9889657413668
"NA",32.7862068483809
