"antes","apos"
505.855484093445,557.943404239624
473.459884235399,555.951978988466
480.757504833445,524.139722759011
526.585236744627,514.02134969812
520.709147208557,507.918628403879
555.057236798259,464.872179295899
481.548660798035,583.3945572588
486.197777240258,675.033137379403
446.223320842576,542.052934657282
539.019970735365,491.797242811488
502.219698902455,497.829996951812
411.007840853861,560.669455751442
462.143036895851,643.054057935274
531.079610092319,577.490387570126
469.396733591642,535.372888965784
594.105932239068,574.010229313064
493.915187357111,551.445776582811
553.118824337746,566.02814284943
461.448135709574,427.083370574109
445.689635474451,549.330758076227
456.542982114401,588.033465956273
563.171611033641,541.828036140948
495.826600050384,612.259043504771
503.72095133139,550.912425641177
516.88791095546,552.178097464499
484.276700456336,648.461061461562
500.47885628195,562.666660659436
534.530216071205,458.165790393018
500.323944822965,481.558517388421
470.041557655807,610.094501780795
504.656812806368,514.012368733451
470.861125656576,541.955920128936
512.849319382161,529.691220054369
505.534835923625,680.363562973446
560.383948238947,611.969745404064
485.637386316365,662.006015165168
514.537875504527,560.590465476607
435.100775349714,522.729511349058
525.179706149745,542.408604279165
460.476801010987,471.370938645611
535.18774772908,538.042157512971
519.535463809019,597.921487015905
485.112081204898,579.315370934222
506.752281340947,511.402881971846
528.076799031526,576.325698219768
471.46016033563,569.552219752544
489.833700215578,553.845638684664
525.248640548717,501.986040883615
491.612730305933,487.069076667523
553.082787635411,530.063479666752
581.75359962998,588.318620324724
520.844796780437,535.296810022849
505.451579097256,496.885250536426
513.930534028382,539.027957666344
432.799824091755,517.733180822666
595.497548207932,531.326277580599
482.202532764079,594.103670885115
448.557908472821,457.228926973562
484.563316081237,564.89637807363
422.282409903928,657.278150953265
