"temperaturaA","temperaturaB"
509.287804124129,472.132748611934
537.427143375269,484.052028148925
489.419705357188,501.087179755139
482.948787794173,521.606387298738
515.067564755175,473.632184037954
513.726611692091,537.056185974755
504.028127451401,529.296377119698
494.230194042245,572.405231801598
352.518452722956,467.647976311185
514.827736716425,521.715425848135
456.077491811891,526.028305226302
470.212727991118,479.653441400784
421.386768609721,604.967494982168
542.879358238085,428.721991269022
480.271466303774,600.388686942749
507.165721346486,511.020883942358
408.348475009761,512.545007986213
520.333224107732,499.531804514953
522.957718976797,562.674941813308
406.285073914251,526.989367564412
531.313850725709,465.57733090064
490.150664633459,579.352494327925
447.407824801643,556.547191057652
498.362412335525,511.805454205248
452.401768392233,500.78415178012
361.075303968531,381.638587361908
533.328784503953,536.603702431684
505.723739455545,502.047934533805
453.102238684333,505.998279463668
479.651699022374,538.474942899357
543.590481990315,517.758868315683
503.789890688956,505.438786032397
525.723225493144,504.762910189625
512.633161152948,524.34075178934
497.729268214309,443.939005325367
484.149118170378,625.503271491387
614.018740196999,552.794556352611
541.400083071904,462.076277165511
464.723699545174,546.718813720237
519.316923418481,552.868036094239
614.573407817105,580.028050816606
422.428631369784,471.667577343599
457.740131308938,534.947116602518
552.015986236305,505.607290032015
439.715086864224,457.327130208948
575.967548709731,440.420954482352
529.13569796311,461.69489733534
452.212287744736,507.449636162604
496.12792259207,469.972555038944
428.590557196597,513.820643149452
405.043446053463,515.976913135018
518.111290374824,458.779685920876
506.635329826797,572.171877694707
451.357586154831,486.546671576239
523.190917419793,517.22380573698
468.93089733885,509.027373377501
454.229821440227,549.663590391548
514.318711477116,462.239079900699
331.190547105183,593.958896332978
420.872294927926,509.920543048136
